Group,count
Plasmid_Library,39696
DNAse_resistant_AAVs,39138
Infective_AAVs,9607
Sox10+_IC,4583
Sox10-_striatum,4292
Sox10+_sort_pooled,4279
Sox10+_striatum,4012
Sox10-_IC,3854
Sox10-_sort_pooled,2367
Medulla,1633
Cerebellum,1506
Fimbria,1440
Sox10+_midbrain,1354
Optic_tract,894
Forebrain_ventricle,522
Corpus_callosum,454
Stria_medularis,292
Posterior_commisure,252
Striatal_ventricle,193
Infectiv_AAV in DNA_resistant_AAV,9590 (0.9982%)
Infectiv_AAV in Plasmid_library,9607 (1.0%)
DNA_resistant_AAV in Plasmid_library,39138 (1.0%)
